Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Zeben,5.13,59.5,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.47,59.66,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.33,59.55,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.34,59.54,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.84,59.53,947.0,213.0,77.51,USBX,
Windows 11,Zeben,8.09,59.48,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.6,59.52,947.0,213.0,77.51,USBX,
Windows 11,Zeben,4.18,58.44,947.0,213.0,77.51,USBX,
Windows 11,Zeben,21.42,60.58,947.0,213.0,77.51,USBX,
Windows 11,Zeben,10.79,61.2,947.0,213.0,77.51,USBX,
Windows 11,Zeben,5.89,58.06,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.95,58.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,5.65,58.05,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.66,58.11,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,58.09,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.31,58.03,947.0,213.0,77.51,USBX,
Windows 11,Zeben,5.06,58.05,947.0,213.0,77.51,USBX,
Windows 11,Zeben,2.33,58.05,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.19,58.07,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.75,58.04,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.03,58.16,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.62,58.39,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.38,58.39,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.68,58.33,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,58.33,947.0,213.0,77.51,USBX,
Windows 11,Zeben,3.89,56.66,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,56.74,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.29,56.63,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.6,56.9,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.28,56.76,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.48,56.78,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.43,57.04,947.0,213.0,77.51,USBX,
Windows 11,Zeben,0.91,57.04,947.0,213.0,77.51,USBX,
Windows 11,Zeben,1.52,57.0,947.0,213.0,77.51,USBX,
