Sistema, Usuario, CPU, Memoria, espacioDisco, espacioLibre, porcentajeOcupado, Usb 
Windows 11,Patroclo,0.77,61.26,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.72,61.26,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.47,61.26,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.04,61.28,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.58,61.29,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.63,61.29,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,61.45,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.14,61.37,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.62,61.36,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.61,61.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.71,61.31,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,61.3,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.46,61.38,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.91,61.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.58,61.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.23,61.39,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.39,61.38,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,61.4,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.96,61.45,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.75,61.44,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.41,61.37,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.14,61.37,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.52,61.36,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.04,61.32,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.2,61.35,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,61.35,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.04,61.36,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.85,61.32,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.0,61.33,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,5.33,61.33,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.62,60.48,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,60.4,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.34,60.56,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,60.51,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.47,60.51,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.67,60.52,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.55,60.53,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.37,60.52,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.51,60.53,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,60.65,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,60.75,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.02,60.76,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,60.75,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.0,60.74,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.05,60.74,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.96,60.75,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.46,60.9,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,60.8,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,60.77,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.1,60.82,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.72,60.87,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.3,60.8,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,5.57,60.87,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.71,60.86,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.57,60.88,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.67,60.9,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.19,60.9,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.67,60.9,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.75,60.9,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.36,60.4,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.09,60.3,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.47,60.23,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.99,60.3,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.41,60.37,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.05,60.29,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.34,60.36,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.7,60.88,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.79,60.85,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.99,60.91,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,4.13,60.91,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.89,60.44,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.0,60.43,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.38,61.03,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.09,60.99,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.61,61.04,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.0,61.04,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.94,60.35,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.76,60.34,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.56,60.35,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.94,60.34,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.67,60.26,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,0.28,60.29,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.32,59.62,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.22,59.76,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.63,59.77,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,3.81,60.48,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.28,60.57,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.74,60.75,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,1.75,60.6,947.0,212.0,77.61,USBX,
Windows 11,Patroclo,2.56,60.65,947.0,212.0,77.61,USBX,
